Año,NUMERO DE EXPEDIENTE,No. de oficio,Fecha de oficio,Area,Infractor,Tipo de infractor,Clave del infractor,Cve. conducta infractora,Conducta infractora,Disposiciones infringidas,Preceptos sancionadores,Fecha de comisión de la irregularidad,Tipo de sanción,Monto
2006,,06-367-III-4.2/72368,06/10/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ZURICH, COMPAÑÍA DE SEGUROS, S.A.",S,25,F33-CIS0013,No  contar con las confirmaciones formales de los reaseguradores,37,139 Fracción XXI,02/05/2005,Multa,9360
2006,,06-367-III-4.2/72368,06/10/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ZURICH, COMPAÑÍA DE SEGUROS, S.A.",S,25,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,03/02/2006,Multa,45701.13
2006,,06-367-III-4.2/72368,06/10/2006,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ZURICH, COMPAÑÍA DE SEGUROS, S.A.",S,25,F08-CIS0091,Incorrecta presentacion de informacion de reaseguro ,107,139 Fracción XXI,01/10/2004,Multa,28782
2007,,06-367-III-4.2/72452,25/01/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"BUPA México, Compañía de Seguros, S.A. de C.V.",S,65,F11-CIS0031,Registro contable equivocado,102,139 Fracción XXI,01/01/2004,Multa,102378.12
2007,,06-367-III-4.2/72452,25/01/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"BUPA México, Compañía de Seguros, S.A. de C.V.",S,65,F14 Bis-CIS0042,Pago de prima a los reaseguradores participantes fuera del plazo,"37 Párrafo Cuarto, inciso a)",139 Fracción  XXI,30/04/2004,Multa,75867.48
2007,,06-367-III-4.2/72452,25/01/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"BUPA México, Compañía de Seguros, S.A. de C.V.",S,65,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,01/01/2004,Multa,9048
2007,,06-367-III-4.2/72452,25/01/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"BUPA México, Compañía de Seguros, S.A. de C.V.",S,65,F33-CIS0111," No proporcionar información solicitada, derivada de la visita de inspección ",110,139 Fracción XXI ,13/12/2005,Multa,9734
2007,,06-367-III-4.2/73000,05/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"CHUBB SEGUROS MÉXICO, S.A.",S,2,14-N/A,,Art. 27,"Art. 139, fracción XXI",31/12/2003,Multa,47534.85
2007,,06-367-III-4.2/73000,05/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"CHUBB SEGUROS MÉXICO, S.A.",S,2,4-0015,,"Arts. 46, 47, 50, 51 y 52 bis","Art. 139, fracción XXI",31/12/2003,Multa,19773.45
2007,,06-367-III-4.2/73000,05/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"CHUBB SEGUROS MÉXICO, S.A.",S,2,8-N/A,,Art. 107 y Circulares u Oficios Circulares,"Art. 139, fracc. XXI",31/12/2003,Multa,25578.9
2007,,06-367-III-4.2/73124,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ISTMO MÉXICO, COMPAÑÍA DE REASEGUROS, S.A. DE C.V.",S,63,F12-CIS0002,Operar con intermediarios de reaseguro no autorizados.,26,"139 Fracción XI, Párrafo Tercero",01/12/2004,Multa,37413.48
2007,,06-367-III-4.2/73124,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ISTMO MÉXICO, COMPAÑÍA DE REASEGUROS, S.A. DE C.V.",S,63,F18-CIS0012,Exceder Límites de Retención,37 y 62-VII,139 Fracción VI  Inciso a),01/01/2003,Multa,174873
2007,,06-367-III-4.2/73124,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ISTMO MÉXICO, COMPAÑÍA DE REASEGUROS, S.A. DE C.V.",S,63,F09-CIS0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,01/12/2004,Multa,71795.88
2007,,06-367-III-4.2/73124,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ISTMO MÉXICO, COMPAÑÍA DE REASEGUROS, S.A. DE C.V.",S,63,F14 Bis-CIS0042,Pago de prima a los reaseguradores participantes fuera del plazo,"37 Párrafo Cuarto, inciso a)",139 Fracción  XXI,01/01/2003,Multa,32519.25
2007,,06-367-III-4.2/73124,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ISTMO MÉXICO, COMPAÑÍA DE REASEGUROS, S.A. DE C.V.",S,63,F48-CIS0050,Por no adoptar las medidas para que la información y documentación contenida en los expedientes se mantenga actualizada,140 Cuarta y Décima de las disposiciones a que se refiere el artículo.,140 Décimo Párrafo,31/12/2004,Multa,9048
2007,,06-367-III-4.2/73124,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ISTMO MÉXICO, COMPAÑÍA DE REASEGUROS, S.A. DE C.V.",S,63,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,01/01/2003,Multa,49062.6
2007,,06-367-III-4.2/73124,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ISTMO MÉXICO, COMPAÑÍA DE REASEGUROS, S.A. DE C.V.",S,63,F24-CIS0103,Deficiencias de Cotrol ,102,"139, Frcción XXI ",31/12/2004,Multa,77903.28
2007,,06-367-III-4.2/73124,14/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ISTMO MÉXICO, COMPAÑÍA DE REASEGUROS, S.A. DE C.V.",S,63,F04-CIS0107,Desviación en la constitución de la reserva matemática especial de los seguros de pensiones,107 y 110,139 Fracción XXI ,24/03/2006,Multa,4867
2007,,06-367-III-4.2/73125,09/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS ATLAS, S.A.",S,23,F14-CIS0003,Operar con reaseguradoras no inscritas en el Registro.,27 último párrafo,139 Fracción XXI,28/04/2004,Multa,9048
2007,,06-367-III-4.2/73125,09/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS ATLAS, S.A.",S,23,F18-CIS0012,Exceder Límites de Retención,37 y 62-VII,139 Fracción VI  Inciso a),28/04/2004,Multa,1794346
2007,,06-367-III-4.2/73125,09/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS ATLAS, S.A.",S,23,F09-CIS0030,Desapego al Cátalogo de Cuentas.,101,139 Fracción  XVI,31/12/2004,Multa,133367.52
2007,,06-367-III-4.2/73125,09/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS ATLAS, S.A.",S,23,F14 Bis-CIS0042,Pago de prima a los reaseguradores participantes fuera del plazo,"37 Párrafo Cuarto, inciso a)",139 Fracción  XXI,28/04/2004,Multa,64286.04
2007,,06-367-III-4.2/73125,09/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS ATLAS, S.A.",S,23,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,30/09/2004,Multa,62612.16
2007,,06-367-III-4.2/73125,09/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS ATLAS, S.A.",S,23,F08-CIS0091,Incorrecta presentacion de informacion de reaseguro ,107,139 Fracción XXI,28/04/2004,Multa,72474.48
2007,,06-367-III-4.2/73126,26/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ALLIANZ MÉXICO, S.A., COMPAÑÍA DE SEGUROS",S,3,F12-CIS0002,Operar con intermediarios de reaseguro no autorizados.,26,"139 Fracción XI, Párrafo Tercero",11/06/2004,Multa,66276.6
2007,,06-367-III-4.2/73126,26/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ALLIANZ MÉXICO, S.A., COMPAÑÍA DE SEGUROS",S,3,F18-CIS0012,Exceder Límites de Retención,37 y 62-VII,139 Fracción VI  Inciso a),05/05/2005,Multa,1931665
2007,,06-367-III-4.2/73126,26/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ALLIANZ MÉXICO, S.A., COMPAÑÍA DE SEGUROS",S,3,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,01/07/2004,Multa,9734
2007,,06-367-III-4.2/73139,27/02/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"LA LATINOAMERICANA SEGUROS, S.A.",S,13,14BIS-N/A,,Artículo 37,"Artículo 139, Fracción XXI",31/12/2005,Multa,136308.12
2007,,06-367-III-4.2/73139,27/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"LA LATINOAMERICANA SEGUROS, S.A.",S,13,F18-CIS0012,Exceder Límites de Retención,37 y 62-VII,139 Fracción VI  Inciso a),31/12/2005,Multa,84044
2007,,06-367-III-4.2/73139,27/03/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"LA LATINOAMERICANA SEGUROS, S.A.",S,13,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,21/12/2005,Multa,51901.2
2007,,06-367-III-4.2/73273,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS BANORTE, S.A. DE C.V., GRUPO FINANCIERO BANORTE",S,1,11-0031,,Art. 102,"Art. 139, fracción XXI",31/12/2005,Multa,11325.6
2007,,06-367-III-4.2/73273,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS BANORTE, S.A. DE C.V., GRUPO FINANCIERO BANORTE",S,1,4-0015,,"Arts. 46, 47, 50, 51 y 52 bis","Art. 139, fracción XXI",31/12/2006,Multa,9734
2007,,06-367-III-4.2/73273,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS BANORTE, S.A. DE C.V., GRUPO FINANCIERO BANORTE",S,1,7-0035,,Art. 107,"Art. 139, fracción XVIII",31/12/2005,Multa,63039.6
2007,,06-367-III-4.2/73273,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS BANORTE, S.A. DE C.V., GRUPO FINANCIERO BANORTE",S,1,F14-CIS0003,Operar con reaseguradoras no inscritas en el Registro.,27 último párrafo,139 Fracción XXI,31/12/2006,Multa,34117.67
2007,,06-367-III-4.2/73273,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS BANORTE, S.A. DE C.V., GRUPO FINANCIERO BANORTE",S,1,F14 Bis-CIS0042,Pago de prima a los reaseguradores participantes fuera del plazo,"37 Párrafo Cuarto, inciso a)",139 Fracción  XXI,24/06/2005,Multa,14695.2
2007,,06-367-III-4.2/73273,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS BANORTE, S.A. DE C.V., GRUPO FINANCIERO BANORTE",S,1,F18-CIS0012,Exceder Límites de Retención,37 y 62-VII,139 Fracción VI  Inciso a),01/07/2006,Multa,2318110
2007,,06-367-III-4.2/73306,30/07/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEMA, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,32,F30-CIIR0011,"Remitir incompleta o incorrecta a la cedente, la información y documentos que por su conducto deba recibir","26 LGISMS y Vigésima Primera, numeral 5 de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro",139 fracc. XXI LGISMS,,Multa,17034
2007,,06-367-III-4.2/73306,03/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEMA, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,32,F30-CIIR0011,"Remitir incompleta o incorrecta a la cedente, la información y documentos que por su conducto deba recibir","26 LGISMS y Vigésima Primera, numeral 5 de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro",139 fracc. XXI LGISMS,30/06/2006,Multa,17034.5
2007,,06-367-III-4.2/73306,03/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEMA, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,32,F31-CIIR0012,Intermediar para reaseguradoras extranjeras que no estén inscritas en el Registro General de Reaseguradoras Extranjeras para tomar Reaseguro y Reafianzamiento del país,26 LGISMS y Vigésima de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracción XXI LGISMS,30/06/2006,Multa,9734
2007,,06-367-III-4.2/73306,03/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEMA, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,32,F33-CIIR0016,Pago de primas en forma extemporánea a los reaseguradores ,26LGISMS y Décima Octava de las Reglas para la Autorización y Operación  de Intermediarios de Reaseguro ,139 FraccIón XXI ,30/04/2006,Multa,9734
2007,,06-367-III-4.2/73316,15/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SWIRE, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,19,F30-CIIR0011,"Remitir incompleta o incorrecta a la cedente, la información y documentos que por su conducto deba recibir","26 LGISMS y Vigésima Primera, numeral 5 de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro",139 fracc. XXI LGISMS,30/06/2006,Multa,9734
2007,,06-367-III-4.2/73316,15/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SWIRE, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,19,F32-CIIR0014,Registro Incorrecto,26 LGISMS y Décima Quinta de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracc. XXI LGISMS,31/12/2006,Multa,9734
2007,,06-367-III-4.2/73316,15/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SWIRE, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,19,F33-CIIR0016,Pago de primas en forma extemporánea a los reaseguradores ,26LGISMS y Décima Octava de las Reglas para la Autorización y Operación  de Intermediarios de Reaseguro ,139 FraccIón XXI ,30/09/2006,Multa,9734
2007,,06-367-III-4.2/73316,15/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SWIRE, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,19,F29-CIIR0023,No remitir a la cedente o hacerlo fuera del plazo la documentación e información que por su conducto deba recibir ,26 LGISMS y Vigésima Primera de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracc. XXI LGISMS,30/09/2006,Multa,49886.75
2007,,06-367-III-4.2/73341,30/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"QUÁLITAS, COMPAÑÍA DE SEGUROS, S.A. DE C.V.",S,46,F15-CIS0008,Desapego a Nota Técnica,36 A,139 Fracción XII,03/11/2004,Multa,89528.4
2007,,06-367-III-4.2/73341,11/10/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"QUÁLITAS, COMPAÑÍA DE SEGUROS, S.A. DE C.V.",S,46,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,01/07/2005,Multa,53258.4
2007,,06-367-III-4.2/73342,30/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS AFIRME, S.A. DE C.V., AFIRME GRUPO FINANCIERO",S,94,F33-CIS0111," No proporcionar información solicitada, derivada de la visita de inspección ",110,139 Fracción XXI ,01/01/2006,Multa,9734
2007,,06-367-III-4.2/73342,05/09/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS AFIRME, S.A. DE C.V., AFIRME GRUPO FINANCIERO",S,94,F12-CIS0002,Operar con intermediarios de reaseguro no autorizados.,26,"139 Fracción XI, Párrafo Tercero",16/01/2006,Multa,50227.44
2007,,06-367-III-4.2/73342,05/09/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS AFIRME, S.A. DE C.V., AFIRME GRUPO FINANCIERO",S,94,F14-CIS0003,Operar con reaseguradoras no inscritas en el Registro.,27 último párrafo,139 Fracción XXI,01/01/2006,Multa,9734
2007,,06-367-III-4.2/73342,05/09/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS AFIRME, S.A. DE C.V., AFIRME GRUPO FINANCIERO",S,94,F18-CIS0012,Exceder Límites de Retención,37 y 62-VII,139 Fracción VI  Inciso a),16/01/2005,Multa,467539
2007,,06-367-III-4.2/73342,05/09/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS AFIRME, S.A. DE C.V., AFIRME GRUPO FINANCIERO",S,94,F11-CIS0031,Registro contable equivocado,102,139 Fracción XXI,01/03/2006,Multa,14601
2007,,06-367-III-4.2/73342,05/09/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS AFIRME, S.A. DE C.V., AFIRME GRUPO FINANCIERO",S,94,F14 Bis-CIS0042,Pago de prima a los reaseguradores participantes fuera del plazo,"37 Párrafo Cuarto, inciso a)",139 Fracción  XXI,01/08/2005,Multa,111898.8
2007,,06-367-III-4.2/73342,05/09/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS AFIRME, S.A. DE C.V., AFIRME GRUPO FINANCIERO",S,94,F04-CIS0067,Desviación en la reserva técnica de riesgos en curso complementaria por calidad de reaseguradoras extranjeras,"46, 47 y 52",139 Fracción  XXI,01/01/2006,Multa,9734
2007,,06-367-III-4.2/73342,05/09/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS AFIRME, S.A. DE C.V., AFIRME GRUPO FINANCIERO",S,94,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,01/04/2005,Multa,56019.6
2007,,06-367-III-4.2/73342,05/09/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS AFIRME, S.A. DE C.V., AFIRME GRUPO FINANCIERO",S,94,F08-CIS0091,Incorrecta presentacion de informacion de reaseguro ,107,139 Fracción XXI,01/12/2005,Multa,19328.4
2007,,06-367-III-4.2/73483,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"Zurich Aseguradora Mexicana, S.A. de C.V.",S,37,11-0031,,Art. 102,"Art. 139, fracción XXI",31/08/2005,Multa,94208.4
2007,,06-367-III-4.2/73483,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"Zurich Aseguradora Mexicana, S.A. de C.V.",S,37,14BIS-N/A,,Artículo 37,"Artículo 139, Fracción XXI",31/12/2005,Multa,132490.8
2007,,06-367-III-4.2/73483,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"Zurich Aseguradora Mexicana, S.A. de C.V.",S,37,18-N/A,,"Arts. 37 y 62, fracción VII","Art. 139, fracción VI, hasta 4% del Capital Pagado",29/10/2005,Multa,467456
2007,,06-367-III-4.2/73483,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"Zurich Aseguradora Mexicana, S.A. de C.V.",S,37,8-N/A,,Art. 107 y Circulares u Oficios Circulares,"Art. 139, fracc. XXI",31/12/2005,Multa,62384.4
2007,,06-367-III-4.2/73483,23/08/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"Zurich Aseguradora Mexicana, S.A. de C.V.",S,37,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,31/07/2005,Multa,57049.2
2007,,06-367-III-4.2/73525,09/10/2007,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"AIG MÉXICO, SEGUROS INTERAMERICANA, S.A. DE C.V.",S,12,8-0090,,Art. 107 y Circulares u Oficios Circulares,"Art. 139, fracc. XXI",19/03/2006,Multa,33728.31
2008,,06-367-III-4.2/74069,11/02/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"GUY CARPENTER MEXICO, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,11,F33-CIIR0001,Omitir proporcionar la información requerida en la forma y términos solicitados,26 LGISMS y Décima Tercera de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracc. XXI LGISMS,08/02/2007,Multa,9734
2008,,06-367-III-4.2/74069,11/02/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"GUY CARPENTER MEXICO, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,11,F33-CIIR0005,"Comprometerse ante la cedente a proporcionar respaldo a través del reaseguro o reafianzamiento, que no estén en condiciones de cumplir",26 LGISMS y Vigésmima númeral 4 de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracc. XXI LGISMS,13/10/2006,Multa,121675
2008,,06-367-III-4.2/74069,11/02/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"GUY CARPENTER MEXICO, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,11,F30-CIIR0011,"Remitir incompleta o incorrecta a la cedente, la información y documentos que por su conducto deba recibir","26 LGISMS y Vigésima Primera, numeral 5 de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro",139 fracc. XXI LGISMS,13/10/2006,Multa,40153
2008,,06-367-III-4.2/74069,11/02/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"GUY CARPENTER MEXICO, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,11,F33-CIIR0016,Pago de primas en forma extemporánea a los reaseguradores ,26LGISMS y Décima Octava de las Reglas para la Autorización y Operación  de Intermediarios de Reaseguro ,139 FraccIón XXI ,31/07/2006,Multa,121675
2008,,06-367-III-4.2/74069,11/02/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"GUY CARPENTER MEXICO, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,11,F29-CIIR0023,No remitir a la cedente o hacerlo fuera del plazo la documentación e información que por su conducto deba recibir ,26 LGISMS y Vigésima Primera de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracc. XXI LGISMS,13/10/2006,Multa,54753.75
2008,,06-367-III-4.2/74069,11/02/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"GUY CARPENTER MEXICO, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,11,F32-CIIR0013,Desapego al catálogo de cuentas,26 LGISMS y Décima Quinta de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracc. XXI LGISMS,31/12/2006,Multa,9734
2008,,06-367-III-4.2/74112,29/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"REINSURANCE CONSULTING, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,39,F30-CIIR0011,"Remitir incompleta o incorrecta a la cedente, la información y documentos que por su conducto deba recibir","26 LGISMS y Vigésima Primera, numeral 5 de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro",139 fracc. XXI LGISMS,31/12/2006,Multa,17034.5
2008,,06-367-III-4.2/74112,29/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"REINSURANCE CONSULTING, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,39,F31-CIIR0012,Intermediar para reaseguradoras extranjeras que no estén inscritas en el Registro General de Reaseguradoras Extranjeras para tomar Reaseguro y Reafianzamiento del país,26 LGISMS y Vigésima de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracción XXI LGISMS,31/12/2006,Multa,9734
2008,,06-367-III-4.2/74112,29/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"REINSURANCE CONSULTING, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,39,F33-CIIR0001,Omitir proporcionar la información requerida en la forma y términos solicitados,26 LGISMS y Décima Tercera de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracc. XXI LGISMS,31/12/2006,Revocación,0
2008,,06-367-III-4.2/74112,29/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"REINSURANCE CONSULTING, INTERMEDIARIO DE REASEGURO, S.A. DE C.V.",I,39,F33-CIIR0005,"Comprometerse ante la cedente a proporcionar respaldo a través del reaseguro o reafianzamiento, que no estén en condiciones de cumplir",26 LGISMS y Vigésmima númeral 4 de las Reglas para la Autorización y Operación de Intermediarios de Reaseguro,139 fracc. XXI LGISMS,31/12/2006,Multa,9734
2008,,06-367-III-4.2/74117,14/03/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"ISTMO MÉXICO, COMPAÑÍA DE REASEGUROS, S.A. DE C.V.",S,63,7-0087,,Art. 107,"Art. 139, fraccióm XVIII",31/12/2006,Multa,17180.51
2008,,06-367-III-4.2/74126,22/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS INBURSA, S.A., GRUPO FINANCIERO INBURSA",S,22,8-0090,,Art. 107 y Circulares u Oficios Circulares,"Art. 139, fracc. XXI",30/09/2005,Multa,77968.8
2008,,06-367-III-4.2/74126,22/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS INBURSA, S.A., GRUPO FINANCIERO INBURSA",S,22,F14-CIS0003,Operar con reaseguradoras no inscritas en el Registro.,27 último párrafo,139 Fracción XXI,01/03/2007,Multa,10720.84
2008,,06-367-III-4.2/74126,22/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS INBURSA, S.A., GRUPO FINANCIERO INBURSA",S,22,F18-CIS0012,Exceder Límites de Retención,37 y 62-VII,139 Fracción VI  Inciso a),01/01/2006,Multa,136678
2008,,06-367-III-4.2/74126,22/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS INBURSA, S.A., GRUPO FINANCIERO INBURSA",S,22,F14 Bis-CIS0042,Pago de prima a los reaseguradores participantes fuera del plazo,"37 Párrafo Cuarto, inciso a)",139 Fracción  XXI,13/12/2005,Multa,11746.8
2008,,06-367-III-4.2/74126,22/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS INBURSA, S.A., GRUPO FINANCIERO INBURSA",S,22,F04-CIS0067,Desviación en la reserva técnica de riesgos en curso complementaria por calidad de reaseguradoras extranjeras,"46, 47 y 52",139 Fracción  XXI,31/12/2006,Multa,25740.13
2008,,06-367-III-4.2/74126,22/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS INBURSA, S.A., GRUPO FINANCIERO INBURSA",S,22,F07-CIS0087,No entrega de información de reaseguro en el plazo establecido,107,139  Fracción  XVIII ,28/02/2006,Multa,69208.74
2008,,06-367-III-4.2/74126,22/05/2008,DIRECCIÓN GENERAL DE SUPERVISIÓN DE REASEGURO,"SEGUROS INBURSA, S.A., GRUPO FINANCIERO INBURSA",S,22,F33-CIS0111," No proporcionar información solicitada, derivada de la visita de inspección ",110,139 Fracción XXI ,01/03/2007,Multa,10114
